event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,spend,currency
evt_7e681157,impression,2026-06-01T03:11:56Z,2026-06-01T09:17:54Z,adv_1151,cmp_1151_1,banner_300x250,mobile,IN,0.0194,USD
evt_7d680fc4,impression,2026-06-01T06:32:35Z,2026-06-01T05:33:13Z,adv_1186,cmp_1186_2,interstitial,ctv,IN,0.0102,USD
evt_8068147d,click,2026-06-01T18:56:56Z,2026-06-01T01:16:09Z,adv_1151,cmp_1151_3,native_feed,mobile,GB,0.0212,INR
evt_7f6812ea,impression,2026-06-01T20:16:21Z,2026-06-01T03:29:28Z,adv_1172,cmp_1172_2,preroll,ctv,DE,0.0180,USD
evt_7a680b0b,impression,2026-06-01T07:43:12Z,2026-06-01T08:48:22Z,adv_1165,cmp_1165_1,banner_728x90,desktop,GB,0.0189,USD
evt_79680978,impression,2026-06-01T18:51:56Z,2026-06-01T20:38:30Z,adv_1165,cmp_1165_2,preroll,mobile,IN,0.0145,USD
evt_7c680e31,click,2026-06-01T14:26:37Z,2026-06-01T22:36:48Z,adv_1137,cmp_1137_1,interstitial,ctv,CA,0.6676,USD
evt_7b680c9e,click,2026-06-01T14:35:12Z,2026-06-01T18:47:20Z,adv_1165,cmp_1165_3,native_feed,ctv,CA,0.6457,USD
evt_766804bf,impression,2026-06-01T21:29:58Z,2026-06-01T15:04:39Z,adv_1137,cmp_1137_1,interstitial,tablet,IN,0.0022,INR
evt_7568032c,impression,2026-06-01T23:42:59Z,2026-06-01T13:13:06Z,adv_1158,cmp_1158_3,interstitial,ctv,unknown,0.0059,USD
evt_5ed11d1c,impression,2026-06-01T13:35:04Z,2026-06-01T20:31:48Z,adv_1144,cmp_1144_1,preroll,tablet,DE,0.0103,USD
evt_5fd11eaf,click,2026-06-01T07:57:12Z,2026-06-01T22:29:49Z,adv_1130,cmp_1130_2,preroll,desktop,DE,0.1573,USD
evt_60d12042,impression,2026-06-01T20:05:28Z,2026-06-01T05:37:22Z,adv_1165,cmp_1165_3,native_feed,tablet,US,0.0091,USD
evt_60d12042,impression,2026-06-01T20:05:28Z,2026-06-01T05:37:22Z,adv_1165,cmp_1165_3,native_feed,tablet,US,0.0091,USD
evt_61d121d5,impression,2026-06-01T08:09:50Z,2026-06-03T11:34:03Z,adv_1186,cmp_1186_3,interstitial,ctv,US,0.0147,USD
evt_5ad116d0,impression,2026-06-01T13:04:57Z,2026-06-01T14:59:51Z,adv_1137,cmp_1137_3,banner_728x90,tablet,SG,0.0043,USD
evt_5bd11863,impression,2026-06-01T11:46:56Z,2026-06-01T14:58:33Z,adv_1109,cmp_1109_2,interstitial,ctv,unknown,0.0141,USD
evt_5cd119f6,impression,2026-06-01T15:55:54Z,2026-06-01T03:09:03Z,adv_1116,cmp_1116_3,interstitial,mobile,IN,0.0095,USD
evt_5dd11b89,impression,2026-06-01T13:24:33Z,2026-06-01T14:10:18Z,adv_1130,cmp_1130_2,native_feed,mobile,unknown,0.0087,USD
evt_66d129b4,impression,2026-06-01T18:52:54Z,2026-06-01T02:09:13Z,adv_1109,cmp_1109_3,preroll,tablet,CA,0.0044,USD
evt_67d12b47,impression,2026-06-01T15:29:53Z,2026-06-01T07:28:32Z,adv_1158,cmp_1158_2,interstitial,desktop,GB,0.0004,USD
evt_70d7f537,impression,2026-06-01T23:04:48Z,2026-06-01T17:31:08Z,adv_1151,cmp_1151_2,interstitial,desktop,IN,0.0017,INR
evt_6fd7f3a4,impression,2026-06-01T18:59:24Z,2026-06-01T06:21:13Z,adv_1123,cmp_1123_2,native_feed,tablet,,0.0094,USD
evt_72d7f85d,impression,2026-06-01T02:23:15Z,2026-06-01T18:29:52Z,adv_1109,cmp_1109_2,interstitial,ctv,AU,0.0030,INR
evt_71d7f6ca,impression,2026-06-01T00:54:58Z,2026-06-01T02:34:50Z,adv_1144,cmp_1144_1,native_feed,mobile,CA,0.0044,USD
evt_6cd7eeeb,click,2026-06-01T23:49:04Z,2026-06-01T10:14:49Z,adv_1137,cmp_1137_2,preroll,tablet,unknown,0.4836,USD
evt_6bd7ed58,impression,2026-06-01T14:26:45Z,2026-06-01T23:28:45Z,adv_1179,cmp_1179_1,preroll,ctv,GB,0.0136,USD
