event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,media_cost,currency,viewability
evt_a815d507,impression,2026-06-04 18:50:42+05:30,2026-06-04T00:18:44Z,adv_1144,cmp_1144_2,interstitial,desktop,US,0.0185,USD,0.68
evt_a815d507,impression,2026-06-04 18:50:42+05:30,2026-06-04T00:18:44Z,adv_1144,cmp_1144_2,interstitial,desktop,US,0.0185,USD,0.68
evt_a715d374,impression,2026-06-04 20:03:11+05:30,2026-06-04T06:56:34Z,adv_1151,cmp_1151_1,interstitial,ctv,DE,0.0138,USD,0.48
evt_aa15d82d,impression,2026-06-04 04:57:18+05:30,2026-06-04T19:06:57Z,adv_1172,cmp_1172_3,preroll,mobile,unknown,0.0131,USD,0.54
evt_a915d69a,impression,2026-06-04 10:59:30+05:30,2026-06-04T09:08:41Z,adv_1137,cmp_1137_2,banner_728x90,mobile,SG,0.0013,USD,0.87
evt_a415cebb,impression,2026-06-04 15:21:11+05:30,2026-06-04T13:32:45Z,adv_1158,cmp_1158_1,native_feed,desktop,,0.0032,USD,0.79
evt_a315cd28,impression,2026-06-04 11:36:19+05:30,2026-06-04T11:14:43Z,adv_1165,cmp_1165_2,banner_728x90,desktop,CA,0.0101,USD,0.56
evt_a615d1e1,impression,2026-06-04 12:01:32+05:30,2026-06-04T02:14:20Z,adv_1151,cmp_1151_3,interstitial,desktop,US,0.0014,USD,0.81
evt_a515d04e,conversion,2026-06-04 17:45:20+05:30,2026-06-04T22:04:01Z,adv_1172,cmp_1172_1,native_feed,tablet,CA,0.0000,USD,0.92
evt_a015c86f,impression,2026-06-04 05:16:59+05:30,2026-06-04T02:53:14Z,adv_1186,cmp_1186_3,interstitial,desktop,unknown,0.0182,USD,0.70
evt_9f15c6dc,impression,2026-06-04 19:29:29+05:30,2026-06-04T02:31:29Z,adv_1130,cmp_1130_3,native_feed,mobile,CA,0.0012,USD,0.65
evt_4b5b940c,click,2026-06-04 06:45:21+05:30,2026-06-04T21:07:44Z,adv_1109,cmp_1109_1,banner_728x90,mobile,DE,0.0294,USD,0.47
evt_4c5b959f,impression,2026-06-04 06:47:51+05:30,2026-06-04T22:02:30Z,adv_1165,cmp_1165_1,banner_300x250,tablet,,0.0059,USD,0.96
evt_4d5b9732,impression,2026-06-04 07:22:06+05:30,2026-06-06T22:24:56Z,adv_1186,cmp_1186_1,interstitial,ctv,AU,0.0001,USD,0.50
evt_4e5b98c5,impression,2026-06-04 02:45:45+05:30,2026-06-04T21:55:55Z,adv_1165,cmp_1165_3,preroll,desktop,CA,0.0168,USD,0.95
evt_475b8dc0,impression,2026-06-04 20:24:41+05:30,2026-06-04T15:14:45Z,adv_1116,cmp_1116_2,preroll,mobile,DE,0.0167,USD,0.89
evt_485b8f53,impression,2026-06-04 13:33:55+05:30,2026-06-04T12:30:23Z,adv_1172,cmp_1172_3,native_feed,tablet,unknown,0.0073,USD,0.65
evt_495b90e6,click,2026-06-04 12:33:24+05:30,2026-06-04T04:38:02Z,adv_1158,cmp_1158_2,native_feed,tablet,,0.3128,USD,1.00
evt_4a5b9279,impression,2026-06-04 17:48:55+05:30,2026-06-04T12:31:15Z,adv_981,cmp_981_x,native_feed,desktop,SG,0.0059,USD,0.69
evt_535ba0a4,impression,2026-06-04 07:47:39+05:30,2026-06-04T14:34:01Z,adv_1158,cmp_1158_2,interstitial,tablet,,0.0036,USD,0.70
evt_545ba237,conversion,2026-06-04 19:22:44+05:30,2026-06-04T21:09:24Z,adv_1123,cmp_1123_2,preroll,desktop,SG,0.0000,USD,0.59
evt_dd6335a7,click,2026-06-04 16:25:55+05:30,2026-06-04T02:30:32Z,adv_1130,cmp_1130_2,preroll,mobile,,0.7782,USD,0.43
evt_dc633414,impression,2026-06-04 16:38:29+05:30,2026-06-04T20:39:54Z,adv_1165,cmp_1165_2,native_feed,desktop,DE,0.0182,USD,0.77
evt_df6338cd,impression,2026-06-04 05:58:55+05:30,2026-06-04T17:59:35Z,adv_1116,cmp_1116_2,interstitial,desktop,SG,0.0115,USD,0.96
evt_de63373a,impression,2026-06-04 05:30:39+05:30,2026-06-04T17:53:50Z,adv_1144,cmp_1144_2,banner_728x90,desktop,unknown,0.0093,USD,0.91
evt_d9632f5b,click,2026-06-04 19:49:52+05:30,2026-06-04T10:56:08Z,adv_1179,cmp_1179_2,banner_300x250,mobile,unknown,0.4942,USD,0.63
evt_d8632dc8,impression,2026-06-04 05:02:56+05:30,2026-06-04T08:19:14Z,adv_1186,cmp_1186_3,banner_728x90,mobile,DE,0.0140,USD,0.93
evt_db633281,click,2026-06-04 18:59:14+05:30,2026-06-04T15:19:09Z,adv_1137,cmp_1137_2,interstitial,desktop,IN,0.2374,USD,0.58
evt_da6330ee,impression,2026-06-04 06:23:13+05:30,2026-06-04T23:03:07Z,adv_1151,cmp_1151_3,interstitial,mobile,DE,0.0161,INR,0.54
evt_d563290f,impression,2026-06-04 16:25:44+05:30,2026-06-04T02:10:14Z,adv_1172,cmp_1172_1,interstitial,desktop,CA,0.0016,INR,0.74
evt_d463277c,impression,2026-06-04 15:56:13+05:30,2026-06-04T09:26:38Z,adv_1144,cmp_1144_3,banner_728x90,desktop,IN,0.0011,USD,0.72
evt_d760ed9e,impression,2026-06-04 05:20:56+05:30,2026-06-04T08:27:07Z,adv_1158,cmp_1158_1,preroll,ctv,unknown,0.0062,USD,0.90
evt_d860ef31,impression,2026-06-04 23:37:39+05:30,2026-06-04T20:30:25Z,adv_1165,cmp_1165_1,native_feed,tablet,DE,0.0032,INR,0.75
evt_d560ea78,impression,2026-06-04 08:33:47+05:30,2026-06-04T23:05:30Z,adv_1165,cmp_1165_3,banner_300x250,tablet,IN,0.0073,USD,0.79
evt_d660ec0b,impression,2026-06-04 10:35:07+05:30,2026-06-04T08:26:13Z,adv_1116,cmp_1116_3,native_feed,tablet,SG,0.0168,USD,0.68
evt_db60f3ea,impression,2026-06-04 05:05:53+05:30,2026-06-04T21:21:35Z,adv_1109,cmp_1109_2,interstitial,mobile,GB,0.0148,USD,0.90
evt_dc60f57d,impression,2026-06-04 20:12:04+05:30,2026-06-04T01:28:26Z,adv_1109,cmp_1109_3,banner_300x250,mobile,CA,0.0117,USD,0.94
evt_d960f0c4,conversion,2026-06-04 11:42:46+05:30,2026-06-04T15:32:35Z,adv_1137,cmp_1137_1,interstitial,tablet,AU,0.0000,USD,0.87
evt_da60f257,impression,2026-06-04 06:42:49+05:30,2026-06-04T01:40:27Z,adv_1158,cmp_1158_1,interstitial,ctv,GB,0.0070,USD,0.83
